FROM|TO
ALDH2|Dopamine
BDNF|Dopamine
CYP2D6|Dopamine
CYP2E1|Dopamine
DRD1|Dopamine
DRD2|Dopamine
GDNF|Dopamine
GSTM1|Dopamine
GSTP1|Dopamine
HMOX1|Dopamine
HSPA9|Dopamine
INS|Dopamine
LRRK2|Dopamine
MAOA|Dopamine
MAOB|Dopamine
MAPT|Dopamine
NOS1|Dopamine
PINK1|Dopamine
PRKN|Dopamine
SLC18A2|Dopamine
SLC6A3|Dopamine
SNCA|Dopamine
SOD1|Dopamine
SOD2|Dopamine
TH|Dopamine
TNF|Dopamine
ALDH2|Parkinson Disease
BDNF|Parkinson Disease
CYP2D6|Parkinson Disease
CYP2E1|Parkinson Disease
DRD1|Parkinson Disease
DRD2|Parkinson Disease
GDNF|Parkinson Disease
GSTM1|Parkinson Disease
GSTP1|Parkinson Disease
HMOX1|Parkinson Disease
HSPA9|Parkinson Disease
INS|Parkinson Disease
LRRK2|Parkinson Disease
MAOA|Parkinson Disease
MAOB|Parkinson Disease
MAPT|Parkinson Disease
NOS1|Parkinson Disease
PINK1|Parkinson Disease
PRKN|Parkinson Disease
SLC18A2|Parkinson Disease
SLC6A3|Parkinson Disease
SNCA|Parkinson Disease
SOD1|Parkinson Disease
SOD2|Parkinson Disease
TH|Parkinson Disease
TNF|Parkinson Disease
